Element,Valency,Atomic_Number ,Atomic_Weight,Block,Inert_Status,Ionization_Energy
Hydrogen,1,1,1.1,s,Non inert,13.5984
Helium,0,2,4,p,Inert,24.5874
Lithium ,1,3,6.9,s,Non inert,5.3917
Beryllium,2,4,9,s,Non inert,9.3227
Boron,3,5,10.8,p,Non inert,8.298
Carbon,4,6,12,p,Non inert,11.2603
Nitrogen,3,7,14,p,Non inert,14.5341
Oxygen,2,8,16,p,Non inert,13.618
Fluorine,1,9,18.9,p,Non inert,17.4228
Neon,0,10,20.2,p,Inert,21.5646
Sodium,1,11,23,s,Non inert,5.139
Magnesium,2,12,24.3,s,Non inert,7.6462
Aluminum,3,13,27,p,Non inert,5.9857
Silicon,4,14,28.1,p,Non inert,8.1516
Phosphorous,3,15,31,p,Non inert,10.4866
Sulphur,2,16,32.1,p,Non inert,10.36
Chlorine,1,17,35.5,p,Non inert,12.9676
Argon,0,18,39.9,p,Inert,15.7596
Potassium,1,19,39.1,s,Non inert,4.3406
Calcium,2,20,40.1,s,Non inert,6.1131
Scandium,3,21,45,d,Non inert,6.5615
Titanium,4,22,47.8,d,Non inert,6.8281
Vanadium,4 or 5,23,50.9,d,Non inert,6.7462
Chromium,2,24,52,d,Non inert,6.7665
Manganese,2 or 4 or 7,25,54.9,d,Non inert,7.434
Iron,2 or 3,26,55.8,d,Non inert,7.9024
Cobalt,3 or 2,27,58.9,d,Non inert,7.6398
Nickel,2,28,58.7,d,Non inert,7.881
Copper,2 or 1,29,63.5,d,Non inert,7.7263
Zinc,2,30,65.4,d,Non inert,9.3942
Gallium,3,31,69.7,p,Non inert,5.9993
Germanium,4,32,72.6,p,Non inert,7.8994
Arsenic,3 or 5,33,74.9,p,Non inert,9.7886
Selenium,2 or 4 or 6,34,79,p,Non inert,9.7523
Bromine,1,35,79.9,p,Non inert,11.8138
Krypton,0,36,83.8,p,Inert,13.9996
